全国地方公共団体コード,Symbolアドレス,Symbol公開鍵,市区町村名
014389,NDLB6MHY4ORCR77MYMG7Z2QGR7DURFEROCJXSZA,3A9294C513D7BC35A056994E149586C5940F512E28C2B92F255F19BE53A72B87,北海道雨竜郡沼田町
014524,NA7RZW5LVNTV6FWQ4UHIM7YHHDLVMXJ4ASHMFHQ,DD9C19465DEB1696CDA3BBFC4C9CA47EE1914E4D2B47A7EF15524FE39DE935E8,北海道上川郡鷹栖町
014532,NDHZ4QXMXCJX3COCZR2TNXUVYYKVD53OWJYKBXA,3EDC8E607D384D343D159A02197ADC56C54D23E2C4CEF507E011630D01B36588,北海道上川郡東神楽町
014541,NCX4AACAWXKEDH5QQYHMNWNEYUCSKBOJYPLVJTA,879CAE55851B9FE91843E622F20229A072982E8972FA8F8A1074AA7116638105,北海道上川郡当麻町
014559,NAIA5O3GGEG6K3YKPUCVUXTA7AX2HL4RCY4ARWA,A62B9701BDF5030F19F79A40BA0363E637C1077986706A0F3C33F8CEF1373C0D,北海道上川郡比布町
014567,NACW3H43DCUJFJ5JWLV2J7UICTTXA6SLS4C7UXQ,C090167462492088E6658E9315B1A2F84D11B7BDB11D744B04529C7879F6FE2F,北海道上川郡愛別町
014575,NDX4TOWZBDSK6PTJOZZKVVUVSHI3K25AZUCZJSI,200EB0D2FB4329B3C0B7548643660DD5FE9AF94196C3069888929E8DC12535C8,北海道上川郡上川町
014583,NBQ3QFCEB3Y3GQXRCEGZ2ORQ7CFWSMEWGCGANLA,8117B6EF6BEB6598C003840B90259B8D2EA6DE56BD67A8F9B4513B2D5FC29C18,北海道上川郡東川町
014591,ND7WUGHUOCPXCXPGBIR5C3CPLLPV2SJDQKOTJ3A,2F2CCCF82999767C458382DDF2FA531073FFFF11D06D7E08F9F4D11593DADBA8,北海道上川郡美瑛町
014605,NBRNBQ3IZQDBKGOTNPGUENXQNTM4YHTNI22ABCY,7A280004B698251989F8B7E7D613CAFC831C9688738128465935C142BE7A5DC1,北海道空知郡上富良野町
014613,NC4MMYGP5U2VBF7SZCUPYLDTZMMW7BKOTFVWCPY,CEAE2BE1651A3C093DF91DBA78EE59A5191243D8EC36B77191FA66E7958CBA9E,北海道空知郡中富良野町
014621,NDE7WEGXL2M5Z2JTFLOZLVLYN4XXMPVLGCOMDYI,B4353E10C3D7DF5F2433A14A34893DEB4BC4E9E81866D49C268D4E602F260A6A,北海道空知郡南富良野町
014630,NCQMXIHHXZENV6CTDZYMT6MJ5U5XFEE4LU7NBDA,4C930419EFB5332A06DA17FDF44F837B0FE67FEF36B241A972BCC74BE20CCF25,北海道勇払郡占冠村
014648,NDJALOHTMVE3GHH2L7A7L4YINHJV6YZJFWMZNKY,1BCF907656BFFCFFCEF50AD70DBE4D50252FB6BBB8126E12B0DBE7272D5C3113,北海道上川郡和寒町
014656,NDPVLTQWROWJYV4K7TAAQGTPZROWHFL7LTN36SQ,59D83F430375D84EA5A3B59E910C9F329A6C6A56933706BF6742DD77F964A12C,北海道上川郡剣淵町
014681,NCHO2OEDBRMDRYZFV4NBBYWRSAZRKNNZZJJRHSY,0299377F129F8DAA44BE3A21A1653CDAAAEB222184DF6155FF8E47DE5CECF316,北海道上川郡下川町
014699,NAEXFW36GFBPKPI67JPIXB7UGGB6LKY4D7M6XAA,2BC8E4659E17845214A3EF413BC24A8237AF9038768617B7525AAD27861D484E,北海道中川郡美深町
014702,NBEYXJTVRTWAJLALTJSQGNRRIGCO5D75TPLHF6A,D96B33DF497542C6E59156520433E35C70911CFC715AB5C3782DC68B82951795,北海道中川郡音威子府村
014711,ND4B6HPTQ3SDTU6PMTQRD4RCACAMACUDY7VOVKI,9FC9F79C5C215608F784D0783753C571F51079AB2A51EEA3FB782399AE62A2E6,北海道中川郡中川町
014729,NASQ6FNO5VNTJUWZZKDI3PKWG4CCFQI2G7EYD3I,9399D5F2CAF307524B2CCCE9C37EA6358DBA58AC7311CFF54E27B25ECE2DB9A3,北海道雨竜郡幌加内町
014818,NDMNSOXM624BWNC3ZSZSVXH5OBDHEOOUPBI3HSA,FB94471E8E013D7B5429C8E7C9FD51E49D0D55E8CB92A59EE42F25502547389C,北海道増毛郡増毛町
014826,NDXQ45NNJ65REZEFFZLUMEU2TQXWSGPPCIEVOUQ,C0AD2711467B605BDB659100E7D9F0DE5DA6B9CE1E09F43E7F7A65755B4B7C2C,北海道留萌郡小平町
014834,NAOIJMHRFGVXHML3ENTLK24SZM4VMO3PPIL4VBI,9D3B44B098CB1AC5A7C6302438CDAE33D46462233B092C9B7671A33F453C37EB,北海道苫前郡苫前町
014842,NCGN6NTHCH6WAGKCPQMXAQM5VXLCN6FSHOKDV5I,BB433E69BDC8BE5206AE280DBF00CD1A48629643A6697CF0D6EA583A85A2A212,北海道苫前郡羽幌町
014851,NDWWJ7EE2IDZKD4H37A72OZPHJGWUMZZL7JUVKI,8BCF2FB538B28E874ADD344DF0BCBF73E1CD51097AEF655B8631C3916A3756FA,北海道苫前郡初山別村
014869,NAGWWPUIRL7W5MH4CTUMEBGVCS7XLGVY45PE7GQ,BCED0E27DDA2E33C207A7CF017AE6AA9F1B5DB4EED6D5FB0590AF58A49DFA805,北海道天塩郡遠別町
014877,NAFR63AK5IYX24BKCN6XCJGEZ655MDYRBVDJJAI,B16F0E5CED42B3CFAF27E040EB862D693972FF6137C7FBE8E450780CD033454D,北海道天塩郡天塩町
015113,NBHQSNBXURKZLOJ7ZCCXLPUPTSKK3BSFSI67YLQ,79645D0F5A0E03D5CEA3C1B1762FBDE0C5208F1ECAF05558FE0D376E348B5DC7,北海道宗谷郡猿払村
015121,NA3N7SSBU6AQA4VEFZGSG6LPOMY64AXDI365S6Q,C8F04108D4C87C775DAC877E64EF02FEE6E240299E36A5C4ABC540EF588F3DB0,北海道枝幸郡浜頓別町
015130,NCSFUN4LDTDYAFIZOCNNXVLANTWMGNHBQSYRMGY,BAEEBB3A87FDB435D9E1ED02C5D84D47E422C8B016EB97B6D4C99BCFC42F3682,北海道枝幸郡中頓別町
015148,NDEU3PSS2XJZL3OYEGXE76OSXM4L7HARBKJWIDQ,ABF4F5F333D651C5F3D9F84C946856F5BC38A39AE2256E61E49B6BE6460EE2ED,北海道枝幸郡枝幸町
015164,NACF4YINTHDL53LH5JPSOUMJABMFMR6YUXZ7NMA,650DC85C123F4DA3136B34E9AAC8C73BB665EBFC35707DC0BBCA7ED7064AE933,北海道天塩郡豊富町
015172,NCVNN7VTDEGUB2Y6A5QB6KPPE3MKOGMAHI36TSY,FE51A62200655974E12DBE93E7CCC2DF0158DDBFCD473B10E403558D7C665CCC,北海道礼文郡礼文町
015181,NDKHEQRLJZOW2FOZZHAM64ABHZ5NOQWMF4EA65Y,C972F1D735A7FFDD12CD251C19DEDCB0CB1BCE49F09A70C986C61856015A9520,北海道利尻郡利尻町
015199,NAK6H3KCWZXL63GCIUQBLRBM46OZKQJYTRLTUVA,1331335C563530A8F145A5F6602F8B18C585A0A73BAD60362B7A9ADA09FF6908,北海道利尻郡利尻富士町
015202,NBA2M75XBIAGAHI4PFKHSXBCU7UBS2WK5XGS6BQ,C3928EFA7D1FE6941E2C02AC916E91ABA4C6CF1A7C853DD0E5315AB4FEB8F8EC,北海道天塩郡幌延町
015431,NACVT7ZEHOYP6ZZP3TMWI7DC2A7C5B5KWL6CESQ,D04FB418615420B7BE4076E46A352349FA96A0A0651E9F5E3C38C205DEEC0B49,北海道網走郡美幌町
015440,ND3JFXPRCYVDAC5B4574EPTH2ITIADM4IBBXQUA,272A8C94A9C4D6C99A25EE97C338DADF569270A0D7533BB379FD378A4EF44F4E,北海道網走郡津別町
015458,NDVZ5QO2RL3AITWCRFQHWKBOTWUXODI4RGCUQSI,FF710CE7A836E70C918526168244ACEFD51D0D86C0D0DE32F26EE95204E3B745,北海道斜里郡斜里町
015466,NDCPVVMY5QAX2L4WPBCFR2DQNYXHXEN4AA43WJA,FDC44534A743C5A2C45D2B3CB0A45E9D9142EB57DC3F7722B56502613155C008,北海道斜里郡清里町
015474,NDC2EU2ZO72L4SGMZFHAD54EBTCWPE4S7HNBA7Q,9368B05DC4634E4EB9C181FDC549C47603A6CB14D2A59CE89F063326B957454A,北海道斜里郡小清水町
015491,NC2V3SRNLYUH75IG65K6BJHWLFQVR2PO3WW2ABY,5704D201596F581D016D199832C950A449371033E6FA2DA40D9C87A1129041EF,北海道常呂郡訓子府町
015504,ND2RQPDGVU3LEJHHPFMQZ6KAEN32LFL55W5WBLI,6A142F43F70F6F4B23F5F40717E8C2F8F61FF90AAD544F9D2E3BD44316322E9F,北海道常呂郡置戸町
015521,NDSD7J333OT3WAH5KIIZ7XBJ763MIQGTZBMFDFY,251340E4D1667144D4945C178C4295FAD111894BFF124F742CB81B81C7F0D49A,北海道常呂郡佐呂間町
015555,NB5X2MCZVKKI6OTOR7POOPODNOIIHH6NXODWOAA,CA4931151C6C81BD94843DFAB5019D5938BC774CFFA55A5F0E2A06AC27D5AB72,北海道紋別郡遠軽町
015598,NC367CCHKRMQYZU2N6LFQLAKUN3LM5QOWKA25XY,400D5D596BCE8C945B572CE4D6B854A350AB0B826AD073B3C9BE39A556D5AB6B,北海道紋別郡湧別町
